rank,word,frequency,relative_freq
1,一下,1000,5.55
2,一個,893,4.95
3,工作,814,4.51
4,问题,507,2.81
5,东西,478,2.65
6,公司,465,2.58
7,应该,423,2.35
8,时间,374,2.07
9,感觉,332,1.84
10,生活,331,1.84
11,比较,298,1.65
12,上面,258,1.43
13,怎麼,255,1.41
14,那种,222,1.23
15,重要,214,1.19
16,以后,211,1.17
17,只能,207,1.15
18,其實,206,1.14
19,选择,205,1.14
20,努力,205,1.14
21,朋友,205,1.14
22,管道,205,1.14
23,一种,204,1.13
24,老板,201,1.11
25,露丝,195,1.08
26,肯定,192,1.06
27,世界,191,1.06
28,完全,191,1.06
29,必须,189,1.05
30,压力,178,0.99
31,分体,175,0.97
32,每天,173,0.96
33,日本,173,0.96
34,有点,172,0.95
35,這些,169,0.94
36,第一,166,0.92
37,中国,166,0.92
38,想要,164,0.91
39,原因,162,0.9
40,方式,161,0.89
41,游戏,161,0.89
42,希望,160,0.89
43,能够,157,0.87
44,感受,154,0.85
45,水冷,154,0.85
46,不同,153,0.85
47,刚才,152,0.84
48,教育,151,0.84
49,过来,150,0.83
50,加班,150,0.83
51,不會,150,0.83
52,进入,148,0.82
53,几个,147,0.82
54,情况,147,0.82
55,不想,144,0.8
56,不了,143,0.79
57,能力,143,0.79
58,找到,140,0.78
59,不行,140,0.78
60,工人,140,0.78
61,主要,140,0.78
62,情绪,139,0.77
63,好吃,139,0.77
64,看着,137,0.76
65,休息,137,0.76
66,以前,136,0.75
67,社会,136,0.75
68,宝宝,136,0.75
69,三个,135,0.75
70,小时,134,0.74
71,真正,133,0.74
72,到底,133,0.74
73,理解,132,0.73
74,基本上,131,0.73
75,发展,131,0.73
76,一點,129,0.72
77,身体,129,0.72
78,存在,129,0.72
79,不好,128,0.71
80,大概,128,0.71
81,那麼,128,0.71
82,這是,128,0.71
83,学习,127,0.7
84,我要,127,0.7
85,開始,127,0.7
86,要求,126,0.7
87,突然,125,0.69
88,一樣,125,0.69
89,凶手,125,0.69
90,不到,124,0.69
91,部分,124,0.69
92,制度,124,0.69
93,准备,123,0.68
94,确实,123,0.68
95,包括,123,0.68
96,反正,122,0.68
97,使用,122,0.68
98,成功,122,0.68
99,下来,122,0.68
100,基本,121,0.67
